9.717, -0.200, 0.250, 0.450
9.784, -0.200, 0.250, 0.450
9.850, -0.200, 0.250, 0.450
9.917, -0.200, 0.250, 0.450
9.984, -0.200, 0.250, 0.450
10.050, -0.200, 0.250, 0.450
10.117, -0.200, 0.250, 0.450
10.184, -0.200, 0.250, 0.450
10.252, -0.200, 0.250, 0.450
10.317, -0.200, 0.250, 0.450
10.384, -0.200, 0.250, 0.450
10.451, -0.200, 0.250, 0.450
10.517, -0.200, 0.250, 0.450
10.584, -0.200, 0.250, 0.450
10.651, -0.200, 0.250, 0.450
10.717, -0.200, 0.250, 0.450
10.784, -0.200, 0.250, 0.450
10.851, -0.200, 0.250, 0.450
10.917, -0.200, 0.250, 0.450
10.984, -0.200, 0.250, 0.450
11.051, -0.200, 0.250, 0.450
11.117, -0.200, 0.250, 0.450
11.184, -0.200, 0.250, 0.450
11.251, -0.200, 0.250, 0.450
11.317, -0.200, 0.250, 0.450
11.384, -0.200, 0.250, 0.450
11.451, -0.200, 0.250, 0.450
11.517, -0.200, 0.250, 0.450
11.584, -0.200, 0.250, 0.450
11.651, -0.200, 0.250, 0.450
11.717, -0.200, 0.250, 0.450
11.784, -0.200, 0.250, 0.450
11.851, -0.200, 0.250, 0.450
11.917, -0.200, 0.250, 0.450
11.984, -0.200, 0.250, 0.450
12.051, -0.200, 0.250, 0.450
12.117, -0.200, 0.250, 0.450
12.184, -0.200, 0.250, 0.450
12.251, -0.200, 0.250, 0.450
12.317, -0.200, 0.250, 0.450
12.384, -0.200, 0.250, 0.450
12.451, -0.200, 0.250, 0.450
12.517, -0.200, 0.250, 0.450
12.584, -0.200, 0.250, 0.450
12.651, -0.200, 0.250, 0.450
12.717, -0.200, 0.250, 0.450
12.784, -0.200, 0.250, 0.450
12.852, -0.200, 0.250, 0.450
12.918, -0.200, 0.250, 0.450
12.984, -0.200, 0.250, 0.450
13.050, -0.200, 0.250, 0.450
13.117, -0.200, 0.250, 0.450
13.184, -0.200, 0.250, 0.450
13.251, -0.200, 0.250, 0.450
13.317, -0.200, 0.250, 0.450
13.384, -0.200, 0.250, 0.450
13.451, -0.200, 0.250, 0.450
13.517, -0.200, 0.250, 0.450
13.584, -0.200, 0.250, 0.450
13.651, -0.200, 0.250, 0.450
13.717, -0.200, 0.250, 0.450
13.784, -0.200, 0.250, 0.450
13.851, -0.200, 0.250, 0.450
13.917, -0.200, 0.250, 0.450
13.984, -0.200, 0.250, 0.450
14.051, -0.200, 0.250, 0.450
14.118, -0.200, 0.250, 0.450
14.184, -0.200, 0.250, 0.450
14.251, -0.200, 0.250, 0.450
14.318, -0.200, 0.250, 0.450
14.384, -0.200, 0.250, 0.450
14.451, -0.200, 0.250, 0.450
14.517, -0.200, 0.250, 0.450
