24.047, 0.280
24.114, 0.337
24.181, 0.385
24.247, 0.414
24.314, 0.423
24.381, 0.422
24.447, 0.424
24.514, 0.437
24.581, 0.475
24.647, 0.507
24.714, 0.546
24.781, 0.578
24.847, 0.606
24.914, 0.620
24.981, 0.627
25.047, 0.615
25.114, 0.589
25.181, 0.551
25.247, 0.502
25.314, 0.463
25.381, 0.431
25.447, 0.411
25.514, 0.396
25.581, 0.393
25.647, 0.397
25.714, 0.402
25.781, 0.411
25.847, 0.431
25.914, 0.468
25.981, 0.522
26.047, 0.605
26.114, 0.695
26.181, 0.765
26.247, 0.796
26.314, 0.747
26.381, 0.673
26.447, 0.584
26.514, 0.514
26.581, 0.460
26.647, 0.426
26.714, 0.408
26.781, 0.401
26.847, 0.401
26.914, 0.405
26.981, 0.414
27.047, 0.426
27.114, 0.443
27.181, 0.467
27.247, 0.502
27.314, 0.550
27.381, 0.626
27.447, 0.728
27.514, 0.849
27.581, 0.966
27.647, 0.990
27.714, 0.972
27.781, 0.844
27.847, 0.717
27.914, 0.616
27.981, 0.545
28.047, 0.502
28.114, 0.475
28.181, 0.456
28.247, 0.436
28.314, 0.419
28.381, 0.406
28.447, 0.400
28.514, 0.408
28.581, 0.428
28.647, 0.459
28.714, 0.508
28.781, 0.573
28.847, 0.663
28.914, 0.766
28.981, 0.894
29.047, 0.963
29.114, 0.974
29.181, 0.911
29.247, 0.826
29.314, 0.729
29.381, 0.660
29.448, 0.610
29.514, 0.581
29.581, 0.554
29.647, 0.538
29.714, 0.532
29.781, 0.538
29.847, 0.552
29.914, 0.570
29.981, 0.597
30.047, 0.623
30.114, 0.656
30.181, 0.694
30.247, 0.745
30.314, 0.803
30.381, 0.867
30.447, 0.934
30.514, 0.989
30.581, 0.990
30.648, 0.990
30.714, 0.926
30.781, 0.841
30.847, 0.744
30.914, 0.648
