8.483, 0.629, 0.570, 0.153
8.503, 0.631, 0.566, 0.150
8.523, 0.633, 0.566, 0.149
8.543, 0.636, 0.562, 0.145
8.563, 0.636, 0.557, 0.142
8.582, 0.636, 0.552, 0.139
8.603, 0.636, 0.545, 0.135
8.623, 0.636, 0.542, 0.134
8.643, 0.635, 0.534, 0.129
8.663, 0.634, 0.526, 0.125
8.683, 0.633, 0.520, 0.122
8.702, 0.630, 0.511, 0.117
8.723, 0.629, 0.508, 0.115
8.743, 0.626, 0.498, 0.110
8.763, 0.622, 0.488, 0.105
8.783, 0.618, 0.482, 0.102
8.803, 0.612, 0.471, 0.096
8.822, 0.610, 0.467, 0.095
8.843, 0.603, 0.456, 0.089
8.863, 0.594, 0.445, 0.084
8.883, 0.588, 0.437, 0.080
8.903, 0.578, 0.425, 0.074
8.922, 0.574, 0.421, 0.072
8.942, 0.567, 0.413, 0.069
8.963, 0.550, 0.396, 0.061
8.983, 0.541, 0.387, 0.057
9.003, 0.527, 0.375, 0.052
9.023, 0.522, 0.370, 0.050
9.043, 0.507, 0.357, 0.045
9.062, 0.490, 0.344, 0.040
9.083, 0.479, 0.335, 0.037
9.103, 0.462, 0.322, 0.032
9.123, 0.456, 0.317, 0.030
9.143, 0.444, 0.308, 0.027
9.163, 0.420, 0.291, 0.021
9.182, 0.408, 0.282, 0.018
9.203, 0.389, 0.269, 0.014
9.223, 0.383, 0.265, 0.012
9.243, 0.370, 0.256, 0.010
9.263, 0.345, 0.239, 0.005
9.282, 0.333, 0.231, 0.002
9.302, 0.314, 0.219, -0.002
9.323, 0.308, 0.215, -0.003
9.343, 0.290, 0.203, -0.006
9.363, 0.272, 0.191, -0.010
9.383, 0.260, 0.183, -0.012
9.402, 0.243, 0.172, -0.015
9.423, 0.238, 0.169, -0.016
9.443, 0.222, 0.158, -0.019
9.463, 0.206, 0.148, -0.022
9.483, 0.196, 0.141, -0.024
9.503, 0.181, 0.132, -0.026
9.523, 0.177, 0.129, -0.027
9.543, 0.164, 0.120, -0.030
9.563, 0.151, 0.112, -0.033
9.583, 0.143, 0.106, -0.034
9.602, 0.132, 0.099, -0.037
9.622, 0.129, 0.096, -0.038
9.643, 0.119, 0.090, -0.040
9.663, 0.110, 0.083, -0.043
9.683, 0.104, 0.079, -0.045
9.703, 0.097, 0.073, -0.047
9.723, 0.094, 0.071, -0.048
9.742, 0.090, 0.068, -0.049
9.763, 0.082, 0.061, -0.053
9.783, 0.079, 0.058, -0.054
9.803, 0.074, 0.054, -0.056
9.823, 0.073, 0.053, -0.057
9.842, 0.071, 0.051, -0.059
9.863, 0.067, 0.047, -0.062
9.883, 0.065, 0.045, -0.063
9.903, 0.063, 0.043, -0.065
9.923, 0.063, 0.042, -0.065
9.943, 0.061, 0.040, -0.067
9.962, 0.060, 0.038, -0.069
9.983, 0.060, 0.037, -0.070
10.003, 0.060, 0.036, -0.072
10.023, 0.060, 0.036, -0.072
10.043, 0.060, 0.036, -0.073
10.063, 0.060, 0.035, -0.075
10.082, 0.060, 0.035, -0.076
10.103, 0.061, 0.035, -0.077
10.123, 0.061, 0.035, -0.077
10.143, 0.062, 0.035, -0.078
10.163, 0.062, 0.035, -0.079
10.183, 0.063, 0.035, -0.079
10.202, 0.064, 0.036, -0.080
10.223, 0.064, 0.036, -0.080
10.243, 0.064, 0.037, -0.081
10.263, 0.065, 0.038, -0.081
10.283, 0.065, 0.038, -0.082
10.302, 0.066, 0.039, -0.082
10.323, 0.066, 0.040, -0.082
10.342, 0.066, 0.041, -0.083
10.363, 0.066, 0.042, -0.083
10.383, 0.066, 0.042, -0.083
10.403, 0.065, 0.043, -0.084
10.423, 0.065, 0.044, -0.084
10.443, 0.065, 0.044, -0.084
10.463, 0.064, 0.045, -0.084
10.482, 0.063, 0.046, -0.084
10.503, 0.062, 0.047, -0.085
10.523, 0.062, 0.047, -0.085
10.543, 0.061, 0.047, -0.085
10.563, 0.059, 0.048, -0.085
10.583, 0.058, 0.048, -0.085
10.602, 0.056, 0.049, -0.086
10.623, 0.056, 0.049, -0.086
10.643, 0.054, 0.049, -0.086
10.663, 0.052, 0.049, -0.086
10.683, 0.051, 0.049, -0.086
10.703, 0.049, 0.049, -0.086
10.722, 0.048, 0.049, -0.087
10.743, 0.046, 0.049, -0.087
10.763, 0.043, 0.048, -0.087
10.785, 0.042, 0.048, -0.087
10.803, 0.040, 0.047, -0.087
10.823, 0.039, 0.047, -0.087
10.843, 0.037, 0.046, -0.088
10.862, 0.034, 0.045, -0.088
10.883, 0.033, 0.045, -0.088
10.903, 0.031, 0.044, -0.088
10.923, 0.030, 0.043, -0.088
10.943, 0.029, 0.043, -0.088
10.963, 0.026, 0.041, -0.088
10.982, 0.025, 0.040, -0.088
11.003, 0.023, 0.039, -0.088
11.023, 0.022, 0.038, -0.088
11.043, 0.021, 0.037, -0.088
11.063, 0.019, 0.035, -0.088
11.083, 0.018, 0.034, -0.089
11.102, 0.017, 0.033, -0.089
11.123, 0.016, 0.032, -0.089
11.143, 0.015, 0.031, -0.089
11.163, 0.014, 0.029, -0.088
11.183, 0.013, 0.028, -0.088
11.203, 0.012, 0.026, -0.088
11.223, 0.012, 0.026, -0.088
11.243, 0.011, 0.024, -0.088
11.263, 0.010, 0.023, -0.088
11.283, 0.010, 0.022, -0.088
11.302, 0.009, 0.020, -0.088
11.322, 0.009, 0.020, -0.088
11.343, 0.009, 0.019, -0.088
11.363, 0.008, 0.017, -0.088
11.383, 0.008, 0.016, -0.088
11.403, 0.008, 0.015, -0.087
11.422, 0.007, 0.015, -0.087
11.442, 0.007, 0.014, -0.087
11.463, 0.007, 0.013, -0.087
11.483, 0.007, 0.013, -0.087
11.503, 0.007, 0.012, -0.086
11.523, 0.007, 0.012, -0.086
11.542, 0.007, 0.011, -0.086
11.563, 0.007, 0.010, -0.086
11.583, 0.007, 0.010, -0.086
11.602, 0.007, 0.010, -0.085
11.622, 0.007, 0.010, -0.085
11.643, 0.007, 0.010, -0.085
11.663, 0.007, 0.010, -0.085
11.683, 0.008, 0.009, -0.084
11.703, 0.008, 0.010, -0.084
11.723, 0.008, 0.010, -0.084
11.742, 0.008, 0.010, -0.084
11.763, 0.008, 0.010, -0.083
11.783, 0.008, 0.010, -0.083
11.803, 0.008, 0.011, -0.083
11.823, 0.008, 0.011, -0.082
11.843, 0.008, 0.011, -0.082
11.862, 0.009, 0.012, -0.082
11.883, 0.009, 0.012, -0.081
11.903, 0.009, 0.013, -0.081
11.922, 0.009, 0.013, -0.081
11.944, 0.009, 0.013, -0.080
11.963, 0.009, 0.014, -0.080
11.982, 0.009, 0.014, -0.080
12.003, 0.009, 0.015, -0.079
12.023, 0.009, 0.015, -0.079
12.043, 0.009, 0.016, -0.079
12.063, 0.009, 0.016, -0.078
12.083, 0.009, 0.017, -0.078
12.103, 0.008, 0.017, -0.078
12.123, 0.008, 0.017, -0.078
12.143, 0.008, 0.018, -0.077
12.163, 0.008, 0.018, -0.077
12.182, 0.008, 0.018, -0.077
12.203, 0.008, 0.018, -0.076
12.223, 0.008, 0.019, -0.076
12.243, 0.008, 0.019, -0.076
12.263, 0.008, 0.019, -0.075
12.283, 0.008, 0.019, -0.075
12.303, 0.008, 0.019, -0.075
12.323, 0.008, 0.019, -0.075
12.343, 0.008, 0.019, -0.074
12.363, 0.008, 0.019, -0.074
12.383, 0.007, 0.019, -0.074
12.403, 0.007, 0.018, -0.073
12.423, 0.007, 0.018, -0.073
12.443, 0.007, 0.018, -0.073
12.463, 0.007, 0.018, -0.072
12.483, 0.007, 0.017, -0.072
12.503, 0.007, 0.017, -0.071
12.523, 0.007, 0.017, -0.071
12.543, 0.007, 0.016, -0.071
12.564, 0.007, 0.016, -0.070
12.583, 0.007, 0.016, -0.070
12.603, 0.007, 0.015, -0.069
12.623, 0.007, 0.015, -0.069
12.642, 0.007, 0.014, -0.069
